quesId,tagId
35896720,1
35896720,2
35896720,3
35896720,4
35896719,5
35896719,6
35896719,7
35896718,8
35896718,9
35896718,10
35896717,11
35896717,12
35896717,13
35896717,14
35896715,15
35896715,16
35896715,17
35896714,18
35896714,19
35896711,20
35896711,21
35896711,3
35896711,22
35512092,11
35512092,23
35512092,24
35512092,25
35896633,26
35896633,27
35896633,28
35896633,29
35896702,30
35896701,31
35896701,3
35896700,32
35896700,33
35896700,34
35896698,35
35896698,36
35896698,37
35896698,29
35896695,38
35896695,39
35896695,40
35896155,41
35896155,42
35896155,43
35896155,44
35896693,45
35896693,46
35896693,47
35896693,48
35896687,49
35896687,16
35896687,50
35896687,29
35896687,51
35862398,52
35862398,53
35862398,54
35862398,55
35862398,56
35896684,57
35896683,11
35896683,58
35896682,59
35896682,60
35896679,61
35896679,62
35896679,63
35896677,64
35896677,65
35896675,66
35896670,67
35896670,68
35896670,69
35896668,70
35896668,71
35896666,72
35896665,73
35896665,74
35896665,75
35896661,76
35896659,24
35896658,77
35896658,78
35896658,3
35896658,79
35892270,80
35885543,81
35885543,82
35885543,83
35896647,84
35896043,85
35896043,81
35867192,86
35867192,87
35867192,88
35896641,89
35832745,57
35832745,90
35896635,91
35896635,92
35896635,44
6344800,93
6344800,94
35896634,95
35896634,96
35896634,29
35890449,97
35895970,98
35895970,99
35895970,100
35895970,101
35896628,102
21595538,31
21595538,103
21595538,3
21595538,104
35895113,85
35895113,105
35895113,106
35894952,55
35894952,107
35896617,108
35896617,90
35896316,109
35896316,110
35896215,111
35896215,29
10530687,112
10530687,113
35896581,114
35896581,115
35896581,57
35896581,116
35896580,117
35896580,118
35896580,119
35896580,120
35896559,121
35896538,122
35896538,65
35896538,123
35895945,124
35895945,125
35895945,43
35895945,126
35895723,65
35895705,127
35896515,128
35896515,30
35896515,129
35896515,130
35894996,131
35894996,132
35894996,9
35894996,133
35896492,134
35895753,73
35895753,135
35896178,65
35896454,136
35896454,125
35896454,137
35896454,138
35896454,139
35896436,140
35896436,141
35896436,55
35896436,90
35896326,142
35896301,125
35896301,43
35896301,143
35896284,144
35896284,145
35896284,29
35896271,146
35896271,125
35896271,147
35896239,148
35896239,125
35896239,44
35896239,149
35793325,150
35793325,151
35793325,152
35793325,74
35896168,16
35896168,153
35896168,154
